DateTime,AP,AP GF,CB DWT,CB GF,CB NPI,CB OPF,CB TLO,CC DWT,CC GF,CC HYD,CC NPI,CC OPF1,CC OPF2,CC SY,EW DWT,EW FF ART,EW FF CMP,EW FF NPI,EW GF,EW NPI,EW OPF,EW SY,FF DWT,FF NPI,FT OPF,IB CHF,IB DWT,IB GF,IB NPI,IB OPF,KA BEL,KV OPF,MS DWT,MS GF,MS NPI,MS OPF,NY GF,RO,SM DWT,SM GF,SM NPI,SM TLO,SM FT OPF,SM KV OPF
26/04/2024 4:00,38.88,0,0,1.08,1.510430324,22.07,0,0,0,0.8,2.301365765,12.79,17.67,3.17,0,0,0,0,0,1.307939331,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.508964519,3.91,0,0
26/04/2024 4:30,38.88,0,0,1.08,1.52478139,22.07,0,0,0,0.8,2.347523203,12.79,17.67,3.17,0,0,0,0,0,1.275691554,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.567713938,3.91,0,0
26/04/2024 5:00,35.22,0,0,1.08,1.338760077,22.07,0.93,0,0,0.8,2.156254183,12.79,17.67,3.17,0,0,0,0,0,1.219893521,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.52901291,3.57,0,0
26/04/2024 5:30,35.22,0,0,1.08,1.287219359,22.07,0.93,0,0,0.8,2.025703994,12.79,17.67,3.17,0,0,0,0,0,1.162309083,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.503276896,3.57,0,0
26/04/2024 6:00,33.94,0,0,1.08,1.727550441,26.53,4,0,0,0.8,2.139221126,12.79,17.67,3.11,0,0,0,0,0,1.121942045,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.542660543,3.91,0,0
26/04/2024 6:30,33.94,0,0,1.08,1.732822185,26.53,4,0,0,0.8,2.281024382,12.79,17.67,3.11,0,0,0,0,0,1.063694061,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.570126423,3.91,0,0
26/04/2024 7:00,30.64,0,0,1.08,1.72228064,26.53,3.83,0,0,0.8,2.291415207,12.79,17.67,2.08,0,0,0,0,0,1.068089596,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.594911113,3.91,0,0
26/04/2024 7:30,30.64,0,0,1.08,1.713874543,26.53,3.83,0,0,0.8,2.248172433,12.79,17.67,2.08,0,0,0,0,0,1.084322817,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.5944933,3.91,0,0
26/04/2024 8:00,33.53,0,0,1.08,1.373190887,26.53,0,0,0,0.8,2.173641677,12.79,17.67,3.17,0,0,0,0,0,1.105468278,3.91,1.21,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.581832277,3.72,0,0
26/04/2024 8:30,33.53,0,0,1.08,1.36876364,26.53,0,0,0,0.8,2.129584057,12.79,17.67,3.17,0,0,0,0,0,1.142892077,3.91,1.21,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.566201582,3.72,0,0
26/04/2024 9:00,33.45,0,0,1.08,1.395704736,26.53,0,0,0,0.8,2.116513507,12.79,17.67,3.17,0,0,0,0,0,1.163309558,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.560139606,3.91,0,0
