DateTime,bus,p_set
2024-04-26 08:30:00,IB GF,0.0
2024-04-26 08:30:00,IB NPI,2.5
2024-04-26 08:30:00,IB OPF,64.18
2024-04-26 08:30:00,SM FT OPF,0.0
2024-04-26 08:30:00,SM GF,2.11
2024-04-26 08:30:00,SM KV OPF,0.0
2024-04-26 08:30:00,SM NPI,1.566201582
2024-04-26 08:30:00,SM TLO,3.72
2024-04-26 09:00:00,IB GF,0.0
2024-04-26 09:00:00,IB NPI,2.5
2024-04-26 09:00:00,IB OPF,64.18
2024-04-26 09:00:00,SM FT OPF,0.0
2024-04-26 09:00:00,SM GF,2.11
2024-04-26 09:00:00,SM KV OPF,0.0
2024-04-26 09:00:00,SM NPI,1.560139606
2024-04-26 09:00:00,SM TLO,3.91
2024-04-26 09:30:00,IB GF,0.0
2024-04-26 09:30:00,IB NPI,2.5
2024-04-26 09:30:00,IB OPF,64.18
2024-04-26 09:30:00,SM FT OPF,0.0
2024-04-26 09:30:00,SM GF,2.11
2024-04-26 09:30:00,SM KV OPF,0.0
2024-04-26 09:30:00,SM NPI,1.613773693
2024-04-26 09:30:00,SM TLO,3.91
2024-04-26 10:00:00,IB GF,0.0
2024-04-26 10:00:00,IB NPI,2.5
2024-04-26 10:00:00,IB OPF,64.18
2024-04-26 10:00:00,SM FT OPF,0.0
2024-04-26 10:00:00,SM GF,2.11
2024-04-26 10:00:00,SM KV OPF,0.0
2024-04-26 10:00:00,SM NPI,1.691881218
2024-04-26 10:00:00,SM TLO,3.91
2024-04-26 10:30:00,IB GF,0.0
2024-04-26 10:30:00,IB NPI,2.5
2024-04-26 10:30:00,IB OPF,64.18
2024-04-26 10:30:00,SM FT OPF,0.0
2024-04-26 10:30:00,SM GF,2.11
2024-04-26 10:30:00,SM KV OPF,0.0
2024-04-26 10:30:00,SM NPI,1.755587301
2024-04-26 10:30:00,SM TLO,3.91
2024-04-26 11:00:00,IB GF,0.0
2024-04-26 11:00:00,IB NPI,2.5
2024-04-26 11:00:00,IB OPF,64.18
2024-04-26 11:00:00,SM FT OPF,0.0
2024-04-26 11:00:00,SM GF,2.11
2024-04-26 11:00:00,SM KV OPF,0.0
2024-04-26 11:00:00,SM NPI,1.810658831
2024-04-26 11:00:00,SM TLO,3.87
2024-04-26 11:30:00,IB GF,0.0
2024-04-26 11:30:00,IB NPI,2.5
2024-04-26 11:30:00,IB OPF,64.18
2024-04-26 11:30:00,SM FT OPF,0.0
2024-04-26 11:30:00,SM GF,2.11
2024-04-26 11:30:00,SM KV OPF,0.0
2024-04-26 11:30:00,SM NPI,1.858065815
2024-04-26 11:30:00,SM TLO,3.87
2024-04-26 12:00:00,IB GF,0.0
2024-04-26 12:00:00,IB NPI,2.5
2024-04-26 12:00:00,IB OPF,64.18
2024-04-26 12:00:00,SM FT OPF,0.0
2024-04-26 12:00:00,SM GF,2.11
2024-04-26 12:00:00,SM KV OPF,0.0
2024-04-26 12:00:00,SM NPI,1.896493149
2024-04-26 12:00:00,SM TLO,3.91
2024-04-26 12:30:00,IB GF,0.0
2024-04-26 12:30:00,IB NPI,2.5
2024-04-26 12:30:00,IB OPF,64.18
2024-04-26 12:30:00,SM FT OPF,0.0
2024-04-26 12:30:00,SM GF,2.11
2024-04-26 12:30:00,SM KV OPF,0.0
2024-04-26 12:30:00,SM NPI,1.929642678
2024-04-26 12:30:00,SM TLO,3.91
2024-04-26 13:00:00,IB GF,0.0
2024-04-26 13:00:00,IB NPI,2.5
2024-04-26 13:00:00,IB OPF,64.18
2024-04-26 13:00:00,SM FT OPF,0.0
2024-04-26 13:00:00,SM GF,2.11
2024-04-26 13:00:00,SM KV OPF,0.0
2024-04-26 13:00:00,SM NPI,1.973064988
2024-04-26 13:00:00,SM TLO,3.91
2024-04-26 13:30:00,IB GF,0.0
2024-04-26 13:30:00,IB NPI,2.5
2024-04-26 13:30:00,IB OPF,64.18
2024-04-26 13:30:00,SM FT OPF,0.0
2024-04-26 13:30:00,SM GF,2.11
2024-04-26 13:30:00,SM KV OPF,0.0
2024-04-26 13:30:00,SM NPI,2.023829111
2024-04-26 13:30:00,SM TLO,3.91
2024-04-26 14:00:00,IB GF,0.0
2024-04-26 14:00:00,IB NPI,2.5
2024-04-26 14:00:00,IB OPF,64.18
2024-04-26 14:00:00,SM FT OPF,0.0
2024-04-26 14:00:00,SM GF,2.11
2024-04-26 14:00:00,SM KV OPF,0.0
2024-04-26 14:00:00,SM NPI,2.094415678
2024-04-26 14:00:00,SM TLO,3.72
2024-04-26 14:30:00,IB GF,0.0
2024-04-26 14:30:00,IB NPI,2.5
2024-04-26 14:30:00,IB OPF,64.18
2024-04-26 14:30:00,SM FT OPF,0.0
2024-04-26 14:30:00,SM GF,2.11
2024-04-26 14:30:00,SM KV OPF,0.0
2024-04-26 14:30:00,SM NPI,2.141202085
2024-04-26 14:30:00,SM TLO,3.72
2024-04-26 15:00:00,IB GF,0.0
2024-04-26 15:00:00,IB NPI,2.5
2024-04-26 15:00:00,IB OPF,64.18
2024-04-26 15:00:00,SM FT OPF,0.0
2024-04-26 15:00:00,SM GF,2.11
2024-04-26 15:00:00,SM KV OPF,0.0
2024-04-26 15:00:00,SM NPI,2.17127454
2024-04-26 15:00:00,SM TLO,3.61
2024-04-26 15:30:00,IB GF,0.0
2024-04-26 15:30:00,IB NPI,2.5
2024-04-26 15:30:00,IB OPF,64.18
2024-04-26 15:30:00,SM FT OPF,0.0
2024-04-26 15:30:00,SM GF,2.11
2024-04-26 15:30:00,SM KV OPF,0.0
2024-04-26 15:30:00,SM NPI,2.224004144
2024-04-26 15:30:00,SM TLO,3.61
2024-04-26 16:00:00,IB GF,0.0
2024-04-26 16:00:00,IB NPI,2.5
2024-04-26 16:00:00,IB OPF,64.18
2024-04-26 16:00:00,SM FT OPF,0.0
2024-04-26 16:00:00,SM GF,2.11
2024-04-26 16:00:00,SM KV OPF,0.0
2024-04-26 16:00:00,SM NPI,2.224386391
2024-04-26 16:00:00,SM TLO,3.91
2024-04-26 16:30:00,IB GF,0.0
2024-04-26 16:30:00,IB NPI,2.5
2024-04-26 16:30:00,IB OPF,64.18
2024-04-26 16:30:00,SM FT OPF,0.0
2024-04-26 16:30:00,SM GF,2.11
2024-04-26 16:30:00,SM KV OPF,0.0
2024-04-26 16:30:00,SM NPI,2.16038484
2024-04-26 16:30:00,SM TLO,3.91
2024-04-26 17:00:00,IB GF,0.0
2024-04-26 17:00:00,IB NPI,2.5
2024-04-26 17:00:00,IB OPF,64.18
2024-04-26 17:00:00,SM FT OPF,0.0
2024-04-26 17:00:00,SM GF,2.11
2024-04-26 17:00:00,SM KV OPF,0.0
2024-04-26 17:00:00,SM NPI,2.112070611
2024-04-26 17:00:00,SM TLO,3.91
2024-04-26 17:30:00,IB GF,0.0
2024-04-26 17:30:00,IB NPI,2.5
2024-04-26 17:30:00,IB OPF,64.18
2024-04-26 17:30:00,SM FT OPF,0.0
2024-04-26 17:30:00,SM GF,2.11
2024-04-26 17:30:00,SM KV OPF,0.0
2024-04-26 17:30:00,SM NPI,2.158218968
2024-04-26 17:30:00,SM TLO,3.91
2024-04-26 18:00:00,IB GF,0.0
2024-04-26 18:00:00,IB NPI,2.5
2024-04-26 18:00:00,IB OPF,64.18
2024-04-26 18:00:00,SM FT OPF,0.0
2024-04-26 18:00:00,SM GF,2.11
2024-04-26 18:00:00,SM KV OPF,0.0
2024-04-26 18:00:00,SM NPI,2.282050973
2024-04-26 18:00:00,SM TLO,3.53
2024-04-26 18:30:00,IB GF,0.0
2024-04-26 18:30:00,IB NPI,2.5
2024-04-26 18:30:00,IB OPF,64.18
2024-04-26 18:30:00,SM FT OPF,0.0
2024-04-26 18:30:00,SM GF,2.11
2024-04-26 18:30:00,SM KV OPF,0.0
2024-04-26 18:30:00,SM NPI,2.367690032
2024-04-26 18:30:00,SM TLO,3.53
2024-04-26 19:00:00,IB GF,0.0
